acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,heart_rate,room_temp,room_light,room_type,posture,time_of_day,risk_level,fall_event,fall_severity
0.4967141530112327,1.3993554365860021,9.124821725025619,-9.539037789386954,-4.31746802482467,-2.1187984101135164,97,23,689,Hallway,Lying,Morning,Medium,0,None
-0.13826430117118466,0.9246336829127688,9.655481329284482,-4.301925053897509,-0.15601744469541987,-2.2670705419192703,100,18,177,Bathroom,Transition,Morning,Low,1,Mild
0.6476885381006925,0.05963036992017413,9.00758007900004,-2.0680276671082214,0.09008436022223293,-8.978215863150075,66,22,271,LivingRoom,Standing,Evening,Medium,0,None
1.5230298564080254,-0.6469367777055739,9.49203847036096,9.438438286700952,2.3631517292170283,-1.6504509585071863,73,27,388,Hallway,Lying,Afternoon,Medium,0,None
-0.23415337472333597,0.6982233136135899,7.906385333046215,2.7827656226687907,-6.834291816404132,3.664145409108725,102,23,644,Hallway,Walking,Night,Medium,0,None
-0.23413695694918055,0.3934853854217496,10.01329370737294,-6.677407845499457,2.962836369236653,-6.371160595383976,112,28,911,Bathroom,Sitting,Afternoon,Low,0,None
1.5792128155073915,0.8951932200277323,9.801205475362226,2.430181447088185,-13.521958158013875,5.242413255252963,107,25,887,Hallway,Standing,Morning,High,0,None
0.7674347291529088,0.6351718016819695,8.98291136893181,-7.736519944691827,-3.149422761819052,2.4388741054216907,84,28,978,Bathroom,Walking,Evening,Medium,0,None
-0.4694743859349521,1.0495527153193351,10.459245668432406,5.413455269435366,-2.4413692122577233,-3.6711666098551894,91,26,519,Bedroom,Standing,Evening,High,0,None
0.5425600435859647,-0.535235211560568,10.737570137626559,-2.355623259089393,3.1666341303561922,-0.7076481866892371,97,28,106,LivingRoom,Walking,Afternoon,Low,0,None
-0.46341769281246226,1.3173940656343257,8.192440135631026,-0.4681809436958542,0.1131542633843457,7.991609038205166,81,20,259,Hallway,Transition,Afternoon,Low,0,None
-0.46572975357025687,0.19759960469239965,9.037275221433786,6.62898323771095,-7.027815269281433,3.6677390675293293,118,19,339,Bedroom,Sitting,Evening,High,0,None
0.24196227156603412,2.0752608726252655,9.030857650212702,-6.435817842921249,-4.924965629085076,0.04391827449073908,75,21,522,Hallway,Transition,Morning,Medium,0,None
-1.913280244657798,-0.6891878180895679,8.860096898891136,-6.985590925564956,0.9934000477370344,-1.1884165848049215,111,25,635,Hallway,Walking,Night,Low,0,None
-1.7249178325130328,1.7359638031652493,10.62947484193175,-2.9179966317300243,-0.3953367093227814,0.38304535225829806,88,28,825,Bedroom,Lying,Night,Medium,0,None
-0.5622875292409727,0.1979107834626478,9.606173861227198,5.191894255096583,-2.8956205481787323,-2.558817789711517,75,25,169,Hallway,Transition,Afternoon,Medium,0,None
-1.0128311203344238,-0.6514180036144483,9.53548515868939,-7.596730377384212,-2.4041689475598966,-10.523747528595074,71,20,979,Hallway,Lying,Evening,High,0,None
